,戏曲,战争,Game-Show,惊悚,爱情,运动,悬疑,冒险,Reality-TV,真人秀,记录,西部,剧情,荒诞,动画,歌舞,紀錄片 Documentary,古装,脱口秀,同性,动作,武侠,Talk-Show,奇幻,黑色电影,News,短片,喜剧,鬼怪,科幻,历史,情色,儿童,恐怖,舞台艺术,纪录片,家庭,灾难,犯罪,音乐,传记
66920467,0.0,0.030303030303030304,0.0,0.13131313131313133,0.36363636363636365,0.0,0.13131313131313133,0.1111111111111111,0.0,0.0,0.0,0.020202020202020204,0.7272727272727273,0.0,0.10101010101010101,0.0,0.0,0.010101010101010102,0.0,0.050505050505050504,0.10101010101010101,0.0,0.0,0.10101010101010101,0.0,0.0,0.0,0.2727272727272727,0.0,0.06060606060606061,0.030303030303030304,0.050505050505050504,0.0,0.030303030303030304,0.0,0.010101010101010102,0.0707070707070707,0.010101010101010102,0.10101010101010101,0.020202020202020204,0.020202020202020204
165366332,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
152662110,0.0,0.0,0.0,0.15789473684210525,0.2807017543859649,0.0,0.12280701754385964,0.08771929824561403,0.0,0.0,0.0,0.0,0.7017543859649122,0.0,0.10526315789473684,0.03508771929824561,0.0,0.08771929824561403,0.0,0.017543859649122806,0.017543859649122806,0.017543859649122806,0.0,0.14035087719298245,0.0,0.0,0.0,0.2631578947368421,0.0,0.05263157894736842,0.017543859649122806,0.07017543859649122,0.0,0.12280701754385964,0.0,0.0,0.08771929824561403,0.0,0.07017543859649122,0.0,0.017543859649122806
goalbear,0.0,0.08333333333333333,0.0,0.25,0.16666666666666666,0.0,0.25,0.08333333333333333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.16666666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0
139569635,0.0,0.029411764705882353,0.0,0.029411764705882353,0.29411764705882354,0.0,0.17647058823529413,0.17647058823529413,0.0,0.0,0.0,0.029411764705882353,0.47058823529411764,0.0,0.029411764705882353,0.029411764705882353,0.0,0.08823529411764706,0.0,0.0,0.2647058823529412,0.058823529411764705,0.0,0.14705882352941177,0.0,0.0,0.0,0.29411764705882354,0.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.0,0.0,0.029411764705882353,0.029411764705882353,0.0,0.17647058823529413,0.029411764705882353,0.029411764705882353
155424541,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.2
155606915,0.0,0.0,0.0,0.0,0.25,0.0,0.08333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.08333333333333333,0.0,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
134940367,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0,0.0
48250341,0.0,0.09411764705882353,0.0,0.16470588235294117,0.24705882352941178,0.011764705882352941,0.11764705882352941,0.15294117647058825,0.0,0.0,0.0,0.03529411764705882,0.7764705882352941,0.0,0.03529411764705882,0.011764705882352941,0.0,0.0,0.0,0.011764705882352941,0.12941176470588237,0.0,0.0,0.08235294117647059,0.0,0.0,0.0,0.15294117647058825,0.0,0.047058823529411764,0.08235294117647059,0.0,0.0,0.047058823529411764,0.0,0.058823529411764705,0.08235294117647059,0.0,0.18823529411764706,0.023529411764705882,0.03529411764705882
tabris17,0.0,0.14492753623188406,0.0,0.10869565217391304,0.15217391304347827,0.0,0.07971014492753623,0.10869565217391304,0.0,0.014492753623188406,0.0,0.0,0.5362318840579711,0.0,0.2826086956521739,0.0,0.0,0.007246376811594203,0.0,0.0,0.10144927536231885,0.0,0.0,0.09420289855072464,0.0,0.0,0.028985507246376812,0.2318840579710145,0.0,0.2318840579710145,0.057971014492753624,0.0,0.014492753623188406,0.014492753623188406,0.0,0.07246376811594203,0.050724637681159424,0.014492753623188406,0.12318840579710146,0.036231884057971016,0.028985507246376812
149325317,0.0,0.022222222222222223,0.0,0.022222222222222223,0.3111111111111111,0.0,0.044444444444444446,0.15555555555555556,0.0,0.044444444444444446,0.0,0.0,0.8,0.0,0.06666666666666667,0.022222222222222223,0.0,0.022222222222222223,0.0,0.15555555555555556,0.044444444444444446,0.0,0.0,0.24444444444444444,0.0,0.0,0.0,0.1111111111111111,0.0,0.044444444444444446,0.08888888888888889,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.022222222222222223,0.044444444444444446,0.044444444444444446,0.044444444444444446
153263536,0.0,0.08,0.0,0.0,0.32,0.0,0.08,0.2,0.0,0.04,0.0,0.0,0.76,0.0,0.16,0.04,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.12,0.0,0.0,0.0,0.28,0.0,0.04,0.04,0.0,0.08,0.0,0.0,0.0,0.12,0.04,0.16,0.12,0.0
temiko,0.0,0.0,0.0,0.26666666666666666,0.16,0.013333333333333334,0.32,0.013333333333333334,0.0,0.0,0.0,0.0,0.5866666666666667,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.013333333333333334,0.013333333333333334,0.0,0.0,0.10666666666666667,0.0,0.0,0.06666666666666667,0.12,0.0,0.04,0.02666666666666667,0.013333333333333334,0.013333333333333334,0.32,0.0,0.02666666666666667,0.05333333333333334,0.0,0.04,0.0,0.02666666666666667
121326054,0.0,0.023255813953488372,0.0,0.06976744186046512,0.47674418604651164,0.0,0.05813953488372093,0.18604651162790697,0.0,0.0,0.0,0.0,0.686046511627907,0.0,0.19767441860465115,0.023255813953488372,0.0,0.03488372093023256,0.0,0.05813953488372093,0.1744186046511628,0.023255813953488372,0.0,0.1511627906976744,0.0,0.0,0.0,0.29069767441860467,0.0,0.08139534883720931,0.011627906976744186,0.0,0.03488372093023256,0.023255813953488372,0.0,0.0,0.06976744186046512,0.0,0.08139534883720931,0.023255813953488372,0.011627906976744186
175940678,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33687067,0.0,0.03225806451612903,0.0,0.06451612903225806,0.1935483870967742,0.0,0.06451612903225806,0.22580645161290322,0.0,0.0,0.0,0.0,0.5483870967741935,0.0,0.12903225806451613,0.0,0.0,0.03225806451612903,0.0,0.0,0.16129032258064516,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.2903225806451613,0.0,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,0.0,0.03225806451612903,0.0967741935483871,0.0,0.0967741935483871,0.0,0.0
62224112,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
176169347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145837093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
156546443,0.0,0.104,0.0,0.104,0.136,0.0,0.112,0.208,0.0,0.0,0.0,0.024,0.584,0.0,0.192,0.0,0.0,0.016,0.016,0.04,0.224,0.0,0.0,0.08,0.0,0.0,0.032,0.152,0.0,0.184,0.128,0.008,0.008,0.016,0.0,0.056,0.096,0.0,0.192,0.016,0.064
31943266,0.0078125,0.0234375,0.0,0.078125,0.2734375,0.0,0.0625,0.0546875,0.0,0.0078125,0.0,0.0,0.5703125,0.0,0.125,0.015625,0.0,0.0078125,0.015625,0.015625,0.046875,0.0,0.0,0.046875,0.0,0.0,0.0546875,0.3046875,0.0,0.078125,0.046875,0.0,0.0390625,0.0,0.0,0.1015625,0.125,0.015625,0.046875,0.0703125,0.078125
137064000,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
